,날짜,변동 %,야간변화율
0,2023-04-10,1.74,-0.028
1,2023-04-11,0.93,0.496
2,2023-04-12,1.38,0.003
3,2023-04-13,0.37,-0.611
4,2023-04-14,0.3,0.7
5,2023-04-17,0.18,-0.018
6,2023-04-18,0.07,0.302
7,2023-04-19,-0.13,-0.048
8,2023-04-20,0.08,-0.404
9,2023-04-21,-0.33,-0.174
10,2023-04-24,-0.52,-0.287
11,2023-04-25,-0.68,0.304
12,2023-04-26,-1.28,0.028
13,2023-04-27,-0.16,-0.059
14,2023-04-28,0.35,0.695
15,2023-05-02,0.42,0.162
16,2023-05-03,0.81,-0.638
17,2023-05-04,-0.78,-0.236
18,2023-05-08,-0.11,0.871
19,2023-05-09,0.84,-0.067
20,2023-05-10,-0.21,-0.149
21,2023-05-11,-0.66,0.35
22,2023-05-12,-0.23,-0.138
23,2023-05-15,-0.51,-0.192
24,2023-05-16,0.26,0.786
25,2023-05-17,0.26,0.092
26,2023-05-18,0.4,0.753
27,2023-05-19,0.99,0.858
28,2023-05-22,1.33,0.081
29,2023-05-23,0.61,0.312
30,2023-05-24,0.24,-0.513
31,2023-05-25,-0.18,0.366
32,2023-05-26,-0.34,0.453
33,2023-05-30,0.52,1.015
34,2023-05-31,1.3,0.015
35,2023-06-01,-0.7,-0.224
36,2023-06-02,-0.31,0.737
37,2023-06-05,1.36,0.648
38,2023-06-07,0.36,0.247
39,2023-06-08,-0.2,-0.309
40,2023-06-09,-0.14,0.446
41,2023-06-12,1.18,0.216
42,2023-06-13,-0.64,0.682
43,2023-06-14,0.53,0.029
44,2023-06-15,-0.5,0.371
45,2023-06-16,-0.42,0.554
46,2023-06-19,0.58,-0.235
47,2023-06-20,-0.59,-0.335
48,2023-06-21,-0.16,-0.321
49,2023-06-22,-0.92,-0.271
50,2023-06-23,0.49,0.243
51,2023-06-26,-0.78,-0.021
52,2023-06-27,0.57,0.012
53,2023-06-28,-0.02,0.311
54,2023-06-29,-0.56,0.015
55,2023-06-30,-0.6,0.348
56,2023-07-03,0.46,0.684
57,2023-07-04,1.52,0.134
58,2023-07-05,-0.43,-0.035
59,2023-07-06,-0.75,-0.251
60,2023-07-07,-0.84,-0.419
61,2023-07-10,-1.38,0.075
62,2023-07-11,-0.22,0.795
63,2023-07-12,1.87,-0.059
64,2023-07-13,0.72,0.63
65,2023-07-14,0.49,0.692
66,2023-07-17,1.7,-0.447
67,2023-07-18,-0.34,0.214
68,2023-07-19,-0.69,0.649
69,2023-07-20,-0.08,-0.507
70,2023-07-21,-0.42,-0.726
71,2023-07-24,0.21,-0.12
72,2023-07-25,0.56,0.424
73,2023-07-26,0.17,0.075
74,2023-07-27,-1.26,0.317
75,2023-07-28,1.23,-0.351
76,2023-07-31,-0.21,0.718
77,2023-08-01,0.46,0.501
78,2023-08-02,1.56,-0.541
79,2023-08-03,-2.05,0.291
80,2023-08-04,-0.66,0.018
81,2023-08-07,-0.08,-0.484
82,2023-08-08,-0.46,0.718
83,2023-08-09,-0.51,0.311
84,2023-08-10,1.08,-0.562
85,2023-08-11,-0.34,0.417
86,2023-08-14,-0.43,-0.118
87,2023-08-16,-0.78,-0.785
88,2023-08-17,-1.5,-0.498
89,2023-08-18,-0.32,-1.008
90,2023-08-21,-0.55,0.314
91,2023-08-22,0.13,0.855
92,2023-08-23,0.26,-0.227
93,2023-08-24,-0.17,1.212
94,2023-08-25,1.42,-1.351
95,2023-08-28,-1.07,0.56
96,2023-08-29,0.69,0.313
97,2023-08-30,0.37,1.004
98,2023-08-31,0.35,0.131
99,2023-09-01,-0.06,-0.191
100,2023-09-04,1.05,0.242
101,2023-09-05,0.81,-0.255
102,2023-09-06,-0.21,-0.185
103,2023-09-07,-0.72,-0.272
104,2023-09-08,-0.33,-0.134
105,2023-09-11,-0.1,0.036
106,2023-09-12,0.35,0.275
107,2023-09-13,-0.6,0.086
108,2023-09-14,0.13,0.402
109,2023-09-15,1.55,0.108
110,2023-09-18,1.11,-0.58
111,2023-09-19,-1.25,0.244
112,2023-09-20,-0.54,-0.083
113,2023-09-21,-0.02,-0.596
114,2023-09-22,-1.69,-0.943
115,2023-09-25,-0.31,-0.187
116,2023-09-26,-0.13,-0.021
117,2023-09-27,-1.41,-0.566
118,2023-10-04,-0.06,-1.255
119,2023-10-05,-2.22,0.629
120,2023-10-06,-0.27,0.217
