,날짜,vix_close_change,vix_day_change,vix_day_fluc_range
1,2023-10-20,11.34,8.464267612772417,2.849999999999998
2,2023-10-19,7.49,4.684095860566446,2.2699999999999996
3,2023-10-18,3.89,2.699597932222854,1.5700000000000003
4,2023-10-17,-10.92,-9.895287958115185,2.4299999999999997
5,2023-10-16,15.76,16.878402903811246,4.280000000000001
6,2023-10-13,3.73,3.7935323383084767,2.639999999999999
7,2023-10-12,-5.52,-5.073746312684363,1.6900000000000013
8,2023-10-11,-3.79,-3.7853107344632666,1.3499999999999979
9,2023-10-10,1.43,-9.416581371545547,2.0400000000000027
10,2023-10-09,-5.62,-6.833956219967972,2.7399999999999984
11,2023-10-06,-0.48,-0.9641135511515976,1.3199999999999967
12,2023-10-05,-6.07,-10.32818532818533,2.5799999999999983
13,2023-10-04,12.32,11.061201572150491,2.960000000000001
14,2023-10-03,0.51,1.733102253032933,1.620000000000001
15,2023-10-02,1.04,3.8529934795494873,1.9099999999999984
16,2023-09-29,-4.83,-4.829857299670686,1.7100000000000009
17,2023-09-28,-3.8,-0.38272279934390535,1.6799999999999997
18,2023-09-27,12.07,5.0471436494731,2.3299999999999983
19,2023-09-26,-1.74,-2.028985507246385,1.620000000000001
20,2023-09-25,-1.94,-0.6354708261120707,1.4800000000000004
21,2023-09-22,15.85,13.234344738540987,2.4399999999999995
22,2023-09-21,7.3,6.770098730606494,1.58
23,2023-09-20,0.79,0.0,1.0200000000000014
24,2023-09-19,1.52,-2.77777777777778,0.8900000000000006
25,2023-09-18,7.57,8.58267716535433,1.4900000000000002
26,2023-09-15,-4.9,-4.256908140403288,0.6700000000000017
27,2023-09-14,-5.27,-6.518723994452147,1.2699999999999996
28,2023-09-13,3.12,1.4978601997146994,0.7099999999999991
29,2023-09-12,-0.29,-2.6111503175723305,0.5899999999999999
30,2023-09-11,-3.89,-2.6722925457102726,1.2899999999999991
31,2023-09-08,-0.35,-2.7683997299122223,1.2899999999999991
32,2023-09-07,3.14,1.261387526278905,1.17
33,2023-09-06,1.37,-0.9893992932862231,0.7700000000000014
34,2023-09-05,5.58,1.4684287812041195,0.3100000000000005
35,2023-09-04,-3.54,-3.4660766961651963,0.5400000000000009
36,2023-09-01,-2.23,-2.932761087267526,0.5600000000000005
37,2023-08-31,-3.94,-4.473503097040596,0.8699999999999992
38,2023-08-30,-4.18,-4.177718832891252,0.9600000000000009
39,2023-08-29,-3.83,-7.142857142857134,1.2800000000000011
40,2023-08-28,-8.84,-8.89018012783266,1.9100000000000001
41,2023-08-25,7.63,10.46885035324341,1.8399999999999999
42,2023-08-24,-5.83,-3.966346153846154,1.1900000000000013
43,2023-08-23,-0.93,0.05896226415093166,0.9699999999999989
44,2023-08-22,-0.98,-4.991680532445935,1.2300000000000004
45,2023-08-21,-3.3,-2.8089887640449436,1.7399999999999984
46,2023-08-18,6.62,5.483490566037734,1.7300000000000004
47,2023-08-17,1.94,1.4510278113663966,1.129999999999999
48,2023-08-16,11.07,10.100334448160545,1.6600000000000001
49,2023-08-15,-0.13,-6.675062972292194,1.2899999999999991
50,2023-08-14,-6.37,-4.443013522215065,1.6700000000000017
51,2023-08-11,-0.69,1.7329910141206648,2.26
52,2023-08-10,-0.19,0.948766603415562,1.4900000000000002
53,2023-08-09,1.4,-1.781326781326787,2.1799999999999997
54,2023-08-08,-7.78,-6.686390532544372,1.5899999999999999
55,2023-08-07,7.41,6.808244846970641,2.8200000000000003
56,2023-08-04,-1.06,-5.068574836016695,1.700000000000001
57,2023-08-03,15.51,2.4840764331210226,1.5300000000000011
58,2023-08-02,2.2,1.3090909090909069,0.5500000000000007
59,2023-08-01,2.25,-2.5035765379112993,0.5199999999999996
60,2023-07-31,-7.49,-4.989308624376331,0.9100000000000001
