,날짜,변동 %,야간변화율
0,2023-07-31,-0.21,0.718
1,2023-08-01,0.46,0.501
2,2023-08-02,1.56,-0.541
3,2023-08-03,-2.05,0.291
4,2023-08-04,-0.66,0.018
5,2023-08-07,-0.08,-0.484
6,2023-08-08,-0.46,0.718
7,2023-08-09,-0.51,0.311
8,2023-08-10,1.08,-0.562
9,2023-08-11,-0.34,0.417
10,2023-08-14,-0.43,-0.118
11,2023-08-16,-0.78,-0.785
12,2023-08-17,-1.5,-0.498
13,2023-08-18,-0.32,-1.008
14,2023-08-21,-0.55,0.314
15,2023-08-22,0.13,0.855
16,2023-08-23,0.26,-0.227
17,2023-08-24,-0.17,1.212
18,2023-08-25,1.42,-1.351
19,2023-08-28,-1.07,0.56
20,2023-08-29,0.69,0.313
21,2023-08-30,0.37,1.004
22,2023-08-31,0.35,0.131
23,2023-09-01,-0.06,-0.191
24,2023-09-04,1.05,0.242
25,2023-09-05,0.81,-0.255
26,2023-09-06,-0.21,-0.185
27,2023-09-07,-0.72,-0.272
28,2023-09-08,-0.33,-0.134
29,2023-09-11,-0.1,0.036
30,2023-09-12,0.35,0.275
31,2023-09-13,-0.6,0.086
32,2023-09-14,0.13,0.402
33,2023-09-15,1.55,0.108
34,2023-09-18,1.11,-0.58
35,2023-09-19,-1.25,0.244
36,2023-09-20,-0.54,-0.083
37,2023-09-21,-0.02,-0.596
38,2023-09-22,-1.69,-0.943
39,2023-09-25,-0.31,-0.187
40,2023-09-26,-0.13,-0.021
41,2023-09-27,-1.41,-0.566
42,2023-10-04,-0.06,-1.255
43,2023-10-05,-2.22,0.629
44,2023-10-06,-0.27,0.217
45,2023-10-10,0.11,1.264
46,2023-10-11,0.05,1.52
47,2023-10-12,1.76,0.662
48,2023-10-13,1.27,-0.833
49,2023-10-16,-0.94,-0.513
50,2023-10-17,-0.76,0.745
51,2023-10-18,1.26,-0.315
52,2023-10-19,0.45,-1.238
53,2023-10-20,-1.84,-1.026
